lemma,"poscode","surface"
Guadeloupe,"0","Guadeloupe"
Guam,"0","Guam"
Guatemala,"0","Guatemala"
Guernsey,"0","Guernsey"
Guinea,"0","Guinea"
Guinea-Bissau,"0","Guinea-Bissau"
Guyana,"0","Guyana"
Haiti,"0","Haiti"
Honduras,"0","Honduras"
Hong Kong,"0","Hong Kong"
Hungary,"0","Hungary"
Iceland,"0","Iceland"
India,"0","India"
Indonesia,"0","Indonesia"
Iran,"0","Iran"
Iraq,"0","Iraq"
Ireland,"0","Ireland"
Isle of Man,"0","Isle of Man"
Israel,"0","Israel"
Italy,"0","Italy"
Jamaica,"0","Jamaica"
Japan,"0","Japan"
Jersey,"0","Jersey"
Johnston Atoll,"0","Johnston Atoll"
Jordan,"0","Jordan"
Kazakhstan,"0","Kazakhstan"
Kenya,"0","Kenya"
Kiribati,"0","Kiribati"
Kuwait,"0","Kuwait"
Kyrgyzstan,"0","Kyrgyzstan"
Laos,"0","Laos"
Latvia,"0","Latvia"
Lebanon,"0","Lebanon"
Lesotho,"0","Lesotho"
Liberia,"0","Liberia"
Libya,"0","Libya"
Lithuania,"0","Lithuania"
Luxembourg,"0","Luxembourg"
Macau,"0","Macau"
Macedonia,"0","Macedonia"
Madagascar,"0","Madagascar"
Malawi,"0","Malawi"
Malaysia,"0","Malaysia"
Maldives,"0","Maldives"
Mali,"0","Mali"
Malta,"0","Malta"
Marshall Islands,"0","Marshall Islands"
Martinique,"0","Martinique"
Mauritania,"0","Mauritania"
Mauritius,"0","Mauritius"
Mayotte,"0","Mayotte"
Mexico,"0","Mexico"
Micronesia,"0","Micronesia"
Midway Islands,"0","Midway Islands"
Moldova,"0","Moldova"
Mongolia,"0","Mongolia"
Montenegro,"0","Montenegro"
Montserrat,"0","Montserrat"
Morocco,"0","Morocco"
Mozambique,"0","Mozambique"
Myanmar,"0","Myanmar"
Namibia,"0","Namibia"
Nauru,"0","Nauru"
Nepal,"0","Nepal"
Netherlands,"0","Netherlands"
Netherlands Antilles,"0","Netherlands Antilles"
New Caledonia,"0","New Caledonia"
New Zealand,"0","New Zealand"
Nicaragua,"0","Nicaragua"
Niger,"0","Niger"
Nigeria,"0","Nigeria"
Niue,"0","Niue"
Norfolk Island,"0","Norfolk Island"
North Korea,"0","North Korea"
Northern Mariana Islands,"0","Northern Mariana Islands"
Norway,"0","Norway"
Oman,"0","Oman"
Pakistan,"0","Pakistan"
Palau,"0","Palau"
Palestine,"0","Palestine"
Panama,"0","Panama"
Papua New Guinea,"0","Papua New Guinea"
Paraguay,"0","Paraguay"
Peru,"0","Peru"
Philippines,"0","Philippines"
Poland,"0","Poland"
Portugal,"0","Portugal"
Puerto Rico,"0","Puerto Rico"
Qatar,"0","Qatar"
Reunion,"0","Reunion"
Romania,"0","Romania"
Russia,"0","Russia"
Rwanda,"0","Rwanda"
Saint Helena,"0","Saint Helena"
Saint Kitts and Nevis,"0","Saint Kitts and Nevis"
Saint Lucia,"0","Saint Lucia"
Saint Pierre and Miquelon,"0","Saint Pierre and Miquelon"
Saint Vincent and the Grenadines,"0","Saint Vincent and the Grenadines"
Samoa,"0","Samoa"
Sao Tome and Principe,"0","Sao Tome and Principe"
Saudi Arabia,"0","Saudi Arabia"
Senegal,"0","Senegal"
Serbia,"0","Serbia"
Seychelles,"0","Seychelles"
Sierra Leone,"0","Sierra Leone"
Singapore,"0","Singapore"
Slovakia,"0","Slovakia"
Slovenia,"0","Slovenia"
Solomon Islands,"0","Solomon Islands"
Somalia,"0","Somalia"
South Africa,"0","South Africa"
South Korea,"0","South Korea"
South Sudan,"0","South Sudan"
Spain,"0","Spain"
Sri Lanka,"0","Sri Lanka"
Sudan,"0","Sudan"
Suriname,"0","Suriname"
Swaziland,"0","Swaziland"
Sweden,"0","Sweden"
Switzerland,"0","Switzerland"
Syria,"0","Syria"
Taiwan,"0","Taiwan"
Tajikistan,"0","Tajikistan"
Tanzania,"0","Tanzania"
Thailand,"0","Thailand"
Togo,"0","Togo"
Tonga,"0","Tonga"
Trinidad and Tobago,"0","Trinidad and Tobago"
Tunisia,"0","Tunisia"
Turkey,"0","Turkey"
Turkmenistan,"0","Turkmenistan"
Turks and Caicos Islands,"0","Turks and Caicos Islands"
Tuvalu,"0","Tuvalu"
Uganda,"0","Uganda"
Ukraine,"0","Ukraine"
United Arab Emirates,"0","United Arab Emirates"
United Kingdom,"0","United Kingdom"
United States,"0","United States"
Uruguay,"0","Uruguay"
Uzbekistan,"0","Uzbekistan"
Vanuatu,"0","Vanuatu"
Venezuela,"0","Venezuela"
Vietnam,"0","Vietnam"
Virgin Islands,"0","Virgin Islands"
Wake Island,"0","Wake Island"
Wallis and Futuna,"0","Wallis and Futuna"
Western Sahara,"0","Western Sahara"
Yemen,"0","Yemen"
Zambia,"0","Zambia"
Zimbabwe,"0","Zimbabwe"
